Q7 Allowed to use ChatGPT,Q8 Use of GenAI at work,Q11 Concerns about using AI at work,Q12 Willingness to learn about AI tools,Q13 Weekly time willing to spend learning GenAI tools,Q25 Estimated reduction of errors by AI tools,Q27 Estimated contribution to job security,Company Department
1,3,2,4,4,4,4,Management
2,1,0,3,1,1,3,Management
1,2,0,3,0,2,1,Management
0,1,1,4,2,3,3,Technology
0,1,2,4,1,3,3,Organizational Position
0,0,2,3,1,3,3,IT
1,1,1,3,1,2,3,Management
1,1,0,4,1,4,1,Management
0,3,2,4,2,3,2,Management
1,1,0,4,1,4,3,IT
1,1,1,4,5,3,2,Management
0,0,2,4,1,1,2,Communication
1,1,2,4,2,3,2,Sales & Marketing
0,0,2,4,3,4,2,Human Resource
3,2,1,3,1,2,2,Sales & Marketing
0,0,2,4,2,3,2,IT
0,0,1,4,3,4,3,Management
1,1,0,3,2,2,3,Technology
1,2,0,1,1,1,0,Sales & Marketing
3,2,1,3,2,1,2,Communication
0,0,2,4,2,3,3,IT
1,0,2,4,1,2,3,Technology
1,0,2,4,3,4,4,IT
1,1,2,4,1,4,3,Management
0,0,2,4,2,4,4,Sales & Marketing
1,1,1,4,4,4,4,IT
3,3,2,4,1,4,4,Management
0,0,2,4,2,2,4,Management
0,3,3,3,1,3,3,Management
3,3,2,3,3,4,4,Technology
0,2,1,3,1,0,4,Management
0,0,0,4,4,3,3,Management
1,1,1,4,1,4,4,Finance
0,1,2,3,1,3,2,Management
1,3,2,4,1,3,3,Organizational Position
0,1,2,4,5,2,3,Sales & Marketing
1,0,2,4,1,4,3,Sales & Marketing
1,2,0,3,1,3,2,IT
1,1,1,4,4,4,2,Organizational Position
1,1,0,4,1,3,2,IT
2,3,1,4,0,1,1,Communication
0,0,2,4,2,4,3,Human Resource
0,1,1,4,2,2,2,Management
1,1,1,4,2,4,2,IT
1,1,1,2,1,3,3,Management
1,2,1,4,1,2,1,IT
1,1,0,4,3,4,3,Management
3,2,2,4,1,3,2,Management
0,1,1,4,3,4,2,Management
1,0,1,4,1,3,4,Sales & Marketing
1,2,1,4,2,3,3,Communication
3,3,2,4,2,3,2,Management
1,1,1,4,2,2,2,Management
0,2,1,4,1,3,3,Human Resource
1,0,1,4,0,2,2,Technology
1,2,1,3,1,3,3,Finance
1,1,0,2,1,3,2,Human Resource
0,1,2,4,2,3,3,Human Resource
0,0,2,4,3,4,4,IT
0,1,2,4,1,3,0,Sales & Marketing
0,1,1,4,1,4,3,Sales & Marketing
0,0,0,4,1,4,3,IT
1,1,1,4,1,4,3,Management
0,0,0,4,1,4,0,IT
